,0,1,2,3,4,5,6,7,8,9,10,11,12,13
abhd15,-0.0,1.7778473443708578,-0.0,1.7782259672184901,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hoxb6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
loxl3,-0.0,-0.0,-0.0,-0.0,3.598464524201358,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.598464524201358,-0.0
btn1a1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
kat2b,-0.0,1.3083224258548614,-0.0,-0.0,-0.0,-0.0,-0.0,1.3085525600073886,-0.0,-0.0,1.3087827507154695,1.3087827507154695,-0.0,-0.0
rab5b,2.1337044478405214,2.1338364682612183,2.134364696725099,2.1342326183302225,2.1342326183302225,-0.0,-0.0,-0.0,-0.0,2.1342326183302225,2.134364696725099,-0.0,-0.0,2.1342326183302225
cryba1,-0.0,-0.0,-0.0,1.0055136247993752,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dnmt3l,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.5986088442238056,-0.0,-0.0
aire,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
icosl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spg7,-0.0,-0.0,14.395229956476546,1.7782259672184901,14.394652589765611,1.7782259672184901,1.7778473443708578,14.3940752808301,14.398117656809502,-0.0,14.395229956476546,-0.0,14.394652589765611,14.394652589765611
